outcome,Frequency,Frequency_fct,LARVcov,mean.val_120,mean.val_485,min.val_120,min.val_485,max.val_120,max.val_485,outcome2
"Relative reduction
in prevalence",6,30,20,0.983268737187559,0.379874648588193,-0.392601474558062,-0.450151456661185,2.937600068366,1.78388443723398,Prevalence
"Relative reduction
in EIR",6,30,20,4.82080551594998,0.516536628838648,-0.547183953491932,-4.84763851086352,8.96921388212641,4.80720851649896,EIR
Nv,6,30,40,2.61575147549534,0.215594314984958,-0.000520565891039178,-2.33143699142823,5.3987705172496,2.81314292753399,Nv
"Relative reduction
in prevalence",6,30,40,2.28229231109246,0.940886286358087,-0.217782372194926,-0.525097894069225,4.3640112307794,2.28714658366638,Prevalence
"Relative reduction
in EIR",6,30,40,9.76150240878875,1.23329169329125,6.00016192828814,-1.41540674236713,13.3640893770867,5.98163474648774,EIR
Nv,6,30,60,3.67056477490872,0.0399528711738766,0.827576475318228,-2.68831644560328,7.00729781230007,3.09463196364491,Nv
"Relative reduction
in prevalence",6,30,60,3.24679244613442,1.16467290529805,1.22792961200314,-1.45299296161667,5.82320441427032,3.69448650883836,Prevalence
"Relative reduction
in EIR",6,30,60,14.3555701821871,1.57952350804798,11.7493955733391,-1.40653886880878,17.7886425074209,6.86779878137842,EIR
Nv,6,30,80,5.46403816513738,0.618242595608349,2.50885664346327,-2.18174379323837,8.72574237495342,2.33593514170079,Nv
"Relative reduction
in prevalence",6,30,80,4.17596713282205,1.43318861508799,1.31677373701682,-0.804789109640251,6.43692507597245,2.70608808270151,Prevalence
"Relative reduction
in EIR",6,30,80,19.3250771826758,2.49684889295774,15.8300887259721,-1.40346191852874,23.5756198536401,5.97410359595394,EIR
Nv,6,30,100,6.63874017975961,0.522138650205688,3.64774913171701,-2.24388376549915,10.2372264976528,3.38044620314961,Nv
"Relative reduction
in prevalence",6,30,100,4.95157976840749,1.85345324234508,2.14418658970495,-0.811817259938348,7.43774453885125,3.20729496987644,Prevalence
"Relative reduction
in EIR",6,30,100,23.5127676964782,2.89695964269591,20.0527919411249,-1.31938640749061,27.6299994259677,6.03775384221197,EIR
